model,global_spearman_AD_visit_vs_score,subject_median_spearman,subject_max_spearman,n_subjects_with_>=3_visits,hc_p90_threshold,hc_p95_threshold,cohen_d_ADlast_vs_HC,hc_mean,ad_last_mean
EfficientNetB0-2.5D,0.529020292414984,0.6981064139536648,0.9771664816939875,46,0.4331810295581818,0.4589938044548034,1.5675912466236752,0.2928787890837026,0.44131209102013835
Prog3DCNN,0.42587259033926245,0.5792873465568775,0.9486832980505138,46,0.41481571793556216,0.4559981703758235,1.4467968497078283,0.2729977145177837,0.45274955261012784
DenseNet121-3D,0.42061864482801503,0.5521353379609784,0.9702745800996745,46,0.2742194235324859,0.3315511763095854,1.6666195047992889,0.1458714046963939,0.41111767008576705
