Model,Class,Dice,Accuracy,Sensitivity,Specificity,Precision,F1,AUROC
3D U-Net + TTA,CSF,0.9729056350389039,0.9868392944335938,0.9838992137240886,0.9877685263744483,0.9621550147372345,0.9729056350389039,0.9993043439360111
3D U-Net + TTA,Gray Matter,0.9528156812268475,0.9649004936218262,0.9528541611109972,0.9720339394822832,0.9527772044505011,0.9528156812268475,0.9948986012907158
3D U-Net + TTA,White Matter,0.9558117591614496,0.9790759086608887,0.9424501005832439,0.9906494083480747,0.9695577383530412,0.9558117591614496,0.997989255647712
3D U-Net + TTA,Mean Foreground,0.9605110251424004,,,,,,0.9973974002914797
3D U-Net (No TTA),CSF,0.9667239782059133,0.9838314056396484,0.9779644190294655,0.9856857055359483,0.9557389900495196,0.9667239782059133,0.9988457719029629
3D U-Net (No TTA),Gray Matter,0.9467274635798831,0.9603848457336426,0.9464489015159285,0.9686372581174155,0.9470061896667843,0.9467274635798831,0.993546745998666
3D U-Net (No TTA),White Matter,0.9530136881486165,0.9777460098266602,0.9399002706711971,0.9897049992187446,0.9664981978946509,0.9530136881486165,0.9973606767610245
3D U-Net (No TTA),Mean Foreground,0.9554883766448042,,,,,,0.9965843982208845
